Tensão In (v),Tensão Out(v),1ª Tempo (s),2ª Tempo (s),3ª Tempo (s),4ª Tempo (s),5ª Tempo (s),Média,Vazão,Area do tanque,diametro,altura
"1,000","3,000","34,120","33,940","35,660","33,860","32,780","34,072","11,386","15,518",,
"1,300","3,900","23,730","25,400","25,960","23,330","23,300","24,344","15,936","15,518",,
"1,600","4,800","18,940","19,750","19,390","19,310","19,050","19,288","20,113","15,518",,
"1,900","5,700","16,170","17,750","16,140","15,840","16,140","16,408","23,644","15,518",,
"2,200","6,600","14,950","14,230","14,070","14,760","15,400","14,682","26,423","15,518",,
"2,500","7,500","12,970","13,190","12,640","12,600","12,740","12,828","30,242","15,518",,
"2,800","8,400","11,990","11,500","11,390","11,410","11,570","11,572","33,525","15,518",,
"3,100","9,300",10.48,"10,440","11,450","10,350","10,360","10,650","36,427","15,518",,
"3,400","10,200","9,856","9,674","9,688","10,220","10,030","9,894","39,212","15,518",,
"3,700","11,100","9,778","9,294","8,812","9,018","9,004","9,181","42,255","15,518",,
"4,000","12,000","8,414","8,950","8,436","8,766","8,604","8,634","44,933","15,518",,
